term1,term2,term3,term4,term5
Stefanie A. Wind,Leigh M. Harrell-Williams,,,
Courtney Donovan,,,,
Agustin Tristan-Lopez,,,,
Luigi Tesio,,,,
Trevor G. Bond,,,,
Stefanie A. Wind,Leigh M. Harrell-Williams,,,
Rajat Chadha,Eric R. Deutz,Timothy J. Muckle,,
Trevor G. Bond,,,,
Stefanie A. Wind,Leigh M. Harrell-Williams,,,
William P. Fisher Jr,,,,
Agustin Tristan,Austen El-Osta,,,
Stefanie A. Wind,Leigh M. Harrell-Williams,,,
Eunji Lee,George Engelhard Jr,,,
Stefanie A. Wind,Leigh M. Harrell-Williams,,,
Trent Haines,,,,
Ida Marais,Sonia Sappl,,,
Stefanie A. Wind,Leigh M. Harrell-Williams,,,
Trent Haines,,,,
George Engelhard Jr,,,,
J. Boone,,,,
Stefanie A. Wind,,,,
Stefanie A. Wind,,,,
Wen-Chia Claire Chang,,,,
S bastien B land, ric Dionne,,,
Stefanie A. Wind,Leigh M. Harrell-Williams,,,
Thomas R. O eill,Ting Wang,,,
Trent Haines,,,,
Randy MacIntosh,,,,
Stefanie A. Wind,,,,
Stefanie A. Wind,Leigh M. Harrell-Williams,,,
Yang Shao,Sanjay Nadkarni,Kailun Niu,Tsair-Wei Chien,
Carol Myford,,,,
Stefanie A. Wind,Leigh M. Harrell-Williams,,,
David Andrich,,,,
Stefanie A. Wind,,,,
Eli Jones,Dandan Liao,,,
Eli Jones,Dandan Liao,,,
Susan Lyons,,,,
Stefanie A. Wind,Leigh M. Harrell-Williams,,,
David Andrich,Sonia Sappl,,,
Hak Ping Tam,Richard M. Smith,,,
George Engelhard Jr,,,,
Jue Wang,,,,
Tonya R. Moon,,,,
Stefanie A. Wind,Leigh M. Harrell-Williams,,,
David Andrich,,,,
A. Adrienne Walker,,,,
John M. Linacre,,,,
Perman Gochyyvev,Veronica Santelices,Yukie Toyama,Wilson M,
Jue Wang,,,,
Stefanie A. Wind,Leigh M. Harrell-Williams,,,
Jiaqi Mao,Kyle Perkins,,,
Vahid Aryadoust,,,,
Kathy E. Green,Antonio Olmos,,,
Williams J,John R. Staver,,,
Stefanie A. Wind,Leigh M. Harrell-Williams,,,
David Andrich,,,,
Kenneth Royal,Margaret E. Gruen,,,
Trevor G. Bond,,,,
Stefanie A. Wind,Leigh M. Harrell-Williams,,,
John M. Linacre,,,,
Andrew Maul,,,,
Luca Mari,,,,
Neal Kingston,,,,
E. Matthew Schulz,,,,
Stefanie A. Wind,Leigh M. Harrell-Williams,,,
Stefanie A. Wind,Leigh M. Harrell-Williams,,,
Stefanie A. Wind,Leigh M. Harrell-Williams,,,
William P. Fisher Jr,,,,
A. Adrienne Walker,,,,
Agustin Tristan,,,,
Tsair-Wei Chien,Yang Shao,,,
Cari Hermman Abell,,,,
Stefanie A. Wind,Leigh M. Harrell-Williams,,,
Richard M. Smith,,,,
Stefanie A. Wind,,,,
Agustin Tristan,,,,
Purya Baghaei,Roya Shoahosseini,,,
Tsair-Wei Chien,Yang Shao,,,
Richard M. Smith,,,,
Stefanie A. Wind,Leigh M. Harrell-Williams,,,
Hong Jiao,,,,
Cari Herrmman-Abell,,,,
Stefanie A. Wind,,,,
Cari Herrmman-Abell,,,,
Andrew Maul,,,,
Yukie Toyoma,,,,
Kenneth Royal,,,,
William P. Fisher Jr,,,,
Tsair-Wei Chien,Yang Shao,,,
William P. Fisher Jr,,,,
Bill Boone,,,,
Rense Lange,,,,
Tsair-Wei Chien,,,,
Tsair-Wei Chien,,,,
Kenneth Royal,,,,
Agustin Tristan-Lopez,Agustin Tristan-Aldave,,,
Michael Peabody,,,,
John M. Linacre,,,,
George Engelhard Jr,Jue Wang,,,
Williams J,,,,
R. Trent Haines,,,,
Kenneth Royal,,,,
Nick Marosszeky,,,,
R. Trent Haines,,,,
John M. Linacre,,,,
P. Baghaei,T. Yanagida,M. Heene,,
Tsair-Wei Chien,W.-C. Wang,,,
L. Harrell-Williams,,,,
S. Thomas,,,,
L. Harrell-Williams,,,,
G. Engelhard,J.K. Jennings,,,
K. Royal,M. Lybarger,,,
John M. Linacre,,,,
A.A. Walker,,,,
S.A. Wind,C. Hua,M. Porter,C. Stager,S. Zhang
G. Engelhard,E.M. Engelhard,M.P. Rabbitt,,
F. Tze-ho,,,,
N. Marosszeky,,,,
A.A. Walker,,,,
William P. Fisher Jr,,,,
M. Peabody,,,,
Tsair-Wei Chien,,,,
Tsair-Wei Chien,,,,
L.M. Harrell-Williams,,,,
S.A. Wind,,,,
John M. Linacre,Wright B.D,,,
David Andrich,,,,
M. Moulton,,,,
M. Stone,J. Stenner,,,
K. Royal,M. Lybarger,,,
Tsair-Wei Chien,Yang Shao,,,
Tsair-Wei Chien,,,,
John M. Linacre,,,,
J. Tognolini,,,,
Tsair-Wei Chien,,,,
William P. Fisher Jr,,,,
A. Maul,,,,
K. Royal,,,,
John M. Linacre,,,,
W.J. Boone,,,,
M. Moulton,,,,
R. Henderson,,,,
J. Stahl,,,,
Trevor G. Bond,,,,
R.K. Hambleton,,,,
J. Stenner,,,,
T. Mallinson,,,,
N. Bezruczko,,,,
T. O Neill,,,,
G. Engelhard,,,,
David Andrich,,,,
M.H. Stone,,,,
R. Lange,,,,
William P. Fisher Jr,,,,
Trevor G. Bond,,,,
M.R. Peabody,T.R. O Neill,L.E. Peterson,,
William P. Fisher Jr,,,,
Tsair-Wei Chien,N. Djaja,M. Janda,C. Olsen,D. Whiteman
William P. Fisher Jr,,,,
Greg Sampson,,,,
N. Bezruczko,,,,
M.H. Stone,A.J. Stenner,,,
K.D. Royal,M. Lybarger,William P. Fisher Jr,,
K.D. Royal,,,,
William P. Fisher Jr,,,,
P. Hagell,,,,
G. Engelhard,J. Wang,,,
Tsair-Wei Chien,N. Djaja,,,
William P. Fisher Jr,,,,
J. Tognolini,,,,
David Andrich,,,,
L. Tesio,,,,
M. Stone,J. Stenner,,,
S.A. Wind,G. Engelhard,,,
Tsair-Wei Chien,N. Djaja,,,
N. Marosszeky,,,,
John M. Linacre,,,,
William P. Fisher Jr,,,,
K.D. Royal,K.S. Akers,,,
N. Marosszeky,,,,
John M. Linacre,,,,
William P. Fisher Jr,,,,
P. Panayides,,,,
M. Moulton,,,,
John M. Linacre,,,,
L. Tesio,,,,
R. Freund,,,,
J. Wang,G. Engelhard,,,
William P. Fisher Jr,,,,
M.S. Yale,,,,
M. Stone,J. Stenner,,,
William P. Fisher Jr,,,,
John M. Linacre,,,,
T. O Neil,,,,
W.J. Boone,,,,
M.H. Moulton,,,,
Ying Du,,,,
Andrew Ward,John M. Linacre,,,
William P. Fisher Jr,,,,
Wright B.D,David Andrich,,,
Tim O Neil,,,,
Melanie Lybarger,,,,
Wright B.D,,,,
Stuart Luppescu,,,,
John M. Linacre,,,,
Kenneth Royal,Mikaela Raddatz,,,
T. Vander Ark,,,,
John M. Linacre,Gregory Chan,Raymond J. Adams,,
J.M. Terron,,,,
John A. Stahl,Gregory M. Applegate,,,
Kenneth Royal,Mari-Wells Hedgpeth,,,
William P. Fisher Jr,,,,
Tim O Neil,,,,
Erik Johnsen,,,,
John M. Linacre,,,,
George Engelhard Jr,,,,
Tim O Neil,,,,
Mark H. Stone,A. J. Stenner,,,
D. Royal,Allie Brosh,,,
John M. Linacre,,,,
Karl Bang Christensen,George Engelhard Jr,Thomas Salzberger,,
William P. Fisher Jr,,,,
Tsair-Wei Chien,,,,
Jonathan Hippisley,,,,
John M. Linacre,William P. Fisher Jr,,,
Paola Annoni,Dorota Weziak-Bialowolska,,,
Kenneth Royal,,,,
Kenneth Royal,,,,
William P. Fisher Jr,,,,
Peter Tymms,Panayiotis Panayides,,,
Kenneth Royal,,,,
Jonathan Hippisley,,,,
Kirk Becker,,,,
John M. Linacre,,,,
Mark Stone,Jack Stenner,,,
Svend Kreiner,,,,
William P. Fisher Jr,,,,
S.A. Wind,G. Engelhard,,,
W.-C. Wang,,,,
John M. Linacre,G. Karabatsos,,,
E. Bouchard,,,,
Edward Li,,,,
K. Royal,,,,
A. Tennant,J. Pallant,,,
Wright B.D,R.W. Woodcock,,,
John M. Linacre,,,,
Wilson M,,,,
William P. Fisher Jr,,,,
G.D. Sideridis,,,,
F. Yumoto,M. Stone,,,
T.R. O Neill,,,,
S.A. Wind,G. Engelhard,,,
A. Kyngdon,,,,
M. Smith III,,,,
B. Riley,,,,
William P. Fisher Jr,,,,
A. Stephanou,,,,
I. Tsaousis,,,,
T. Mallinson,,,,
David Andrich,,,,
T.R. O Neill,,,,
B. Schulte,,,,
G. Luo,,,,
New Orleans,,,,
G. Rasch,,,,
William P. Fisher Jr,,,,
John M. Linacre,,,,
G. Stone,,,,
A. Tennant,,,,
William P. Fisher Jr,,,,
John M. Linacre,,,,
Wright B.D,,,,
K.D. Royal,,,,
J.F. Albano,,,,
G. Fischer,,,,
G. Fischer,,,,
John M. Linacre,,,,
W. Boone,,,,
S. Vahid Aryadoust,Yau Che Ming,,,
William P. Fisher Jr,,,,
Wilson M,,,,
William P. Fisher Jr,,,,
S. Kreiner,,,,
Y. Uchida,,,,
G. Rasch,,,,
William P. Fisher Jr,,,,
E. Wolfe,,,,
John M. Linacre,,,,
John M. Linacre,,,,
John M. Linacre,,,,
B. Peterlin,,,,
B.M. Craig,,,,
William P. Fisher Jr,,,,
William P. Fisher Jr,,,,
John M. Linacre,,,,
John M. Linacre,,,,
John M. Linacre,,,,
M. Garner,,,,
M.H. Stone,D. Burdick,,,
S.V. Aryadoust,,,,
John M. Linacre,,,,
P. Daftarifard,R. Lange,,,
P. Baghaei,,,,
G. Engelhard,,,,
Wright B.D,,,,
John M. Linacre,,,,
F. Tze-ho,,,,
S.V. Aryadoust,,,,
R.R. Sinkovics,,,,
William P. Fisher Jr,,,,
W. Boone,,,,
Wright B.D,,,,
T. Waddington,,,,
D.S. Burdick,,,,
E.L. Thorndike,,,,
Wright B.D,,,,
W Best,,,,
C Granger,,,,
A Burga Le n,,,,
S Luppescu,F Hong,,,
J Rost,,,,
W Boone,,,,
S. Walter,,,,
GA Churchill,,,,
R. Goethals,,,,
H Li,F Hong,,,
W Katzenbeisser,,,,
KJ Rowe,,,,
John M. Linacre,,,,
P Baghaei,,,,
William P. Fisher Jr,,,,
John M. Linacre,,,,
M Enos,,,,
G. Engelhard,,,,
Trevor G. Bond,,,,
William P. Fisher Jr,,,,
John M. Linacre,,,,
G. Rasch,,,,
G. Engelhard,,,,
L. Lessard,,,,
William P. Fisher Jr,,,,
William P. Fisher Jr,,,,
S. Mannarini,R. Lalli,,,
M.M. Duran,,,,
Purya Baghaei,,,,
William P. Fisher Jr,,,,
Carl V. Granger,,,,
George Engelhard Jr,,,,
John M. Linacre,,,,
John A. Stahl,Timothy Muckle,,,
George Engelhard Jr,,,,
Ronald Mead,,,,
Mary E. Lunz,,,,
William P. Fisher Jr,,,,
John M. Linacre,,,,
William P. Fisher Jr,,,,
Warm T.A,,,,
Purya Baghaei,,,,
John M. Linacre,,,,
John M. Linacre,,,,
Tristan A,,,,
Riopel M,,,,
John M. Linacre,,,,
John M. Linacre,,,,
Riopel M,,,,
Pallant J.F,,,,
John M. Linacre,,,,
John M. Linacre,,,,
William P. Fisher Jr,John M. Linacre,,,
John M. Linacre,John M. Linacre,,,
Oreja-Rodr guez J.R,Alvarez P,,,
 John M. Linacre,,,,
F. Wolfe,,,,
Luppescu S,,,,
Lang S,,,,
John M. Linacre,,,,
John M. Linacre,John M. Linacre,,,
John M. Linacre,,,,
Lunz M,,,,
Velozo C,,,,
Waugh R.F,,,,
William P. Fisher Jr,,,,
Athanasou J.A,,,,
Hungi N,,,,
Ra che G,,,,
David Andrich,,,,
Allerup P,,,,
Kelley B,,,,
Wright B.D,,,,
John M. Linacre,,,,
John M. Linacre,,,,
Smith R,,,,
Stone G,,,,
Lang S,,,,
William P. Fisher Jr,,,,
Smith R,,,,
Test Optimization,W. E. Deming,,,
John M. Linacre,,,,
John M. Linacre,,,,
Wright B.D,,,,
Smith R,,,,
William P. Fisher Jr,,,,
Blomberg C,,,,
Heinemann A,,,,
Zeger S,,,,
John M. Linacre,,,,
Reeve B,,,,
Lange R,,,,
John M. Linacre,,,,
Bezruczko N,,,,
Moulden B,,,,
Wu M,,,,
Reeve B,,,,
Smith E. V,Smith R,,,
Ratio Revisited Again,William P. Fisher Jr,,,
Smith R,,,,
Smith E. V,Smith R,,,
Wilson M,,,,
Schulz M,,,,
John M. Linacre,,,,
Trevor G. Bond,,,,
William P. Fisher Jr,,,,
William P. Fisher Jr,,,,
David Andrich,,,,
John M. Linacre,,,,
John M. Linacre,,,,
Tennant A,,,,
Wilkerson J,,,,
Wilson M,,,,
David Cella,,,,
Smith R,,,,
Nakamura Y,,,,
John M. Linacre,,,,
Smith R,,,,
Stenner A.J,Stone M.H,,,
De Bruin D,,,,
Keeves J.P,Elliott D.B,,,
John M. Linacre,,,,
Luo G,,,,
Tennant A,,,,
Smith R,,,,
