"coword_1","coword_2","coword_3","coword_4","coword_5","coword_6","coword_7","coword_8","coword_9","coword_10","coword_11","coword_12","coword_13","coword_14","coword_15","coword_16","coword_17","coword_18","coword_19","coword_20","coword_21","coword_22","coword_23","coword_24","coword_25","coword_26","coword_27","coword_28","coword_29"
"若瑟","耶穌","瑪利亞","雅各伯","基督","耶穌基督","瑪竇","福音","聖神","厄瑪奴耳","","","","","","","","","","","","","","","","","","",""
"白冷","若瑟","耶路撒冷","納匝肋","猶太","瑪竇","福音","加里肋亞","瑪利亞","默西亞","耶穌","","","","","","","","","","","","","","","","","",""
"若翰","悔改","耶穌","猶太","瑪竇","福音","聖神","加里肋亞","洗者若翰","耶路撒冷","天國","","","","","","","","","","","","","","","","","",""
"耶穌","加里肋亞","福音","天主子","載伯德","天國","瑪竇","加里肋亞海","來跟從我","耶路撒冷","十城區","安德肋","納匝肋","葛法翁","雅各伯","悔改","猶太","聖神","若望","若翰","西滿","","","","","","","",""
"天國","瑪竇","福音","世界的光","耶路撒冷","耶穌","門徒","","","","","","","","","","","","","","","","","","","","","",""
"瑪竇","生命","福音","天主的國","","","","","","","","","","","","","","","","","","","","","","","","",""
"天國","瑪竇","福音","生命","耶穌","","","","","","","","","","","","","","","","","","","","","","","",""
"耶穌","瑪竇","福音","門徒","天主子","葛法翁","雅各伯","人子","信心","天國","","","","","","","","","","","","","","","","","","",""
"耶穌","門徒","瑪竇","福音","人子","信心","天國","若翰","","","","","","","","","","","","","","","","","","","","",""
"瑪竇","耶穌","雅各伯","福音","西滿","門徒","巴爾多祿茂","撒瑪黎雅","十字架","安德肋","斐理伯","猶達斯","載伯德","阿耳斐","人子","多默","天國","復活","猶達","聖神","若望","達陡","","","","","","",""
"若翰","耶穌","洗者若翰","天國","提洛","漆冬","瑪竇","福音","門徒","貝特賽達","葛法翁","人子","基督","復活","悔改","正義","","","","","","","","","","","","",""
"耶穌","安息日","人子","門徒","瑪竇","福音","聖殿","聖神","天主的國","悔改","","","","","","","","","","","","","","","","","","",""
"天國","耶穌","撒種","門徒","人子","瑪竇","福音","瑪利亞","雅各伯","猶達","若瑟","西滿","","","","","","","","","","","","","","","","",""
"耶穌","若翰","門徒","瑪竇","福音","洗者若翰","天主子","斐理伯","復活","","","","","","","","","","","","","","","","","","","",""
"耶穌","門徒","瑪竇","福音","加里肋亞海","加里肋亞","耶路撒冷","提洛","漆冬","","","","","","","","","","","","","","","","","","","",""
"耶穌","門徒","人子","默西亞","瑪竇","福音","西滿","西滿伯多祿","凱撒勒雅","洗者若翰","耶路撒冷","十字架","斐理伯","天國","復活","永生","若翰","","","","","","","","","","","",""
"耶穌","門徒","人子","復活","瑪竇","福音","加里肋亞","洗者若翰","葛法翁","雅各伯","若望","若翰","西滿","","","","","","","","","","","","","","","",""
"天國","耶穌","瑪竇","生命","福音","人子","見證","門徒","","","","","","","","","","","","","","","","","","","","",""
"耶穌","天國","門徒","永生","瑪竇","福音","加里肋亞","人子","猶太","生命","見證","重生","","","","","","","","","","","","","","","","",""
