Term1,Term2,Term3,Term4,Term5,Profile
多數值資料整合,專科性高,長案例題幹,,,2
否定題幹,專科性高,,,,1
否定題幹,基礎或常見主題,,,,1
否定題幹,,,,,1
基礎或常見主題,,,,,1
基礎或常見主題,,,,,1
否定題幹,基礎或常見主題,,,,1
影像或圖像判讀,多數值資料整合,基礎或常見主題,,,2
否定題幹,長案例題幹,,,,1
否定題幹,專科性高,,,,1
否定題幹,專科性高,,,,1
專科性高,,,,,1
否定題幹,,,,,1
專科性高,,,,,1
否定題幹,,,,,1
多數值資料整合,,,,,2
否定題幹,多數值資料整合,,,,1
否定題幹,純文字題幹,常規臨床情境,單一步驟判斷,中等資訊量,3
專科性高,,,,,1
否定題幹,基礎或常見主題,,,,1
影像或圖像判讀,多數值資料整合,專科性高,長案例題幹,,2
否定題幹,多數值資料整合,長案例題幹,,,2
否定題幹,專科性高,,,,1
專科性高,,,,,1
否定題幹,影像或圖像判讀,,,,1
否定題幹,專科性高,,,,1
基礎或常見主題,,,,,1
否定題幹,,,,,1
否定題幹,,,,,1
影像或圖像判讀,多數值資料整合,,,,2
專科性高,,,,,1
否定題幹,影像或圖像判讀,,,,1
否定題幹,多數值資料整合,,,,1
多數值資料整合,專科性高,,,,1
否定題幹,影像或圖像判讀,,,,1
長案例題幹,純文字題幹,常規臨床情境,單一步驟判斷,情境線索明確,3
多數值資料整合,,,,,2
專科性高,基礎或常見主題,,,,1
否定題幹,影像或圖像判讀,,,,1
純文字題幹,直接知識辨識,單一步驟判斷,資訊量精簡,,3
影像或圖像判讀,多數值資料整合,長案例題幹,,,2
否定題幹,專科性高,,,,1
否定題幹,,,,,1
多數值資料整合,,,,,2
專科性高,,,,,1
基礎或常見主題,,,,,1
純文字題幹,常規臨床情境,單一步驟判斷,中等資訊量,,3
否定題幹,,,,,1
長案例題幹,純文字題幹,臨床情境整合,中等資訊量,,3
純文字題幹,直接知識辨識,單一步驟判斷,資訊量精簡,,3
否定題幹,影像或圖像判讀,基礎或常見主題,,,1
否定題幹,,,,,1
基礎或常見主題,,,,,1
純文字題幹,直接知識辨識,單一步驟判斷,資訊量精簡,,3
否定題幹,基礎或常見主題,,,,1
否定題幹,,,,,1
否定題幹,純文字題幹,常規臨床情境,單一步驟判斷,中等資訊量,3
否定題幹,專科性高,,,,1
否定題幹,多數值資料整合,,,,1
純文字題幹,直接知識辨識,單一步驟判斷,資訊量精簡,,3
影像或圖像判讀,專科性高,,,,1
基礎或常見主題,,,,,1
否定題幹,專科性高,,,,1
否定題幹,專科性高,基礎或常見主題,,,1
否定題幹,,,,,1
純文字題幹,直接知識辨識,單一步驟判斷,資訊量精簡,,3
專科性高,,,,,1
影像或圖像判讀,專科性高,,,,1
否定題幹,,,,,1
否定題幹,影像或圖像判讀,多數值資料整合,長案例題幹,,2
否定題幹,專科性高,,,,1
影像或圖像判讀,,,,,2
否定題幹,,,,,1
否定題幹,專科性高,基礎或常見主題,,,1
