Ho, Yuh-Shan
"Ho, Yuh-Shan(Taiwan)","Ho, Yuh-Shan(Taiwan)"
"Nachega, Jean B.(U.S)","Nachega, Jean B.(U.S)"
"Chiu, Wen-Ta(Taiwan)","Ho, Yuh-Shan(Taiwan)"
"Hong, Song(Taiwan)","Ho, Yuh-Shan(Taiwan)"
"Li, Ling-li(China)","Ho, Yuh-Shan(China)"
"Ho, Yuh-Shan(China)","Ho, Yuh-Shan(China)"
"Ofomaja, Augustine E.(China)","Ho, Yuh-Shan(China)"
"Fu, Hui-Zhen(China)","Ho, Yuh-Shan(Taiwan)"
"Ho, Yuh-Shan(Taiwan)","Ho, Yuh-Shan(Taiwan)"
"Fu, Hui-Zhen(Taiwan)","Ho, Yuh-Shan(Taiwan)"
"Li, Jinfeng(Taiwan)","Ho, Yuh-Shan(Taiwan)"
"Xie, Shaodong(China)","Ho, Yuh-Shan(China)"
"Ofomaja, Augustine E.(Taiwan)","Ho, Yuh-Shan(Taiwan)"
"Han, Ji-Sheng(Taiwan)","Ho, Yuh-Shan(Taiwan)"
"Li, Zhi(China)","Ho, Yuh-Shan(China)"
"Ofomaja, Augustine E.(China)","Ho, Yuh-Shan(China)"
"El-Khaiary, Mohammad I.(China)","Ho, Yuh-Shan(China)"
"Zhang, Gangfeng(Taiwan)","Ho, Yuh-Shan(Taiwan)"
"Ho, Yuh-Shan(Taiwan)","Ho, Yuh-Shan(Taiwan)"
"Zhang, Liang(China)","Ho, Yuh-Shan(Taiwan)"
"Wen, Donghui(China)","Tang, Xiaoyan(China)"
"Chuang, Kun-Yang(Taiwan)","Ho, Yuh-Shan(Taiwan)"
"Fu, Hui-zhen(China)","Li, Zhen-shan(China)"
"Mao, Ning(Taiwan)","Ho, Yuh-Shan(Taiwan)"
"Chuang, Kun-Yang(Taiwan)","Ho, Yuh-Shan(Taiwan)"
"Wang, Ming-Huang(Taiwan)","Ho, Yuh-Shan(Taiwan)"
