Term1,Term2,Term3,Term4,Term5,Profile
多數值資料整合,純文字題幹,專科性高,單一步驟判斷,中等資訊量,3
多數值資料整合,否定題幹,純文字題幹,直接知識辨識,單一步驟判斷,3
多數值資料整合,純文字題幹,常規臨床情境,情境線索明確,中等資訊量,3
多數值資料整合,否定題幹,純文字題幹,直接知識辨識,單一步驟判斷,3
多數值資料整合,純文字題幹,長案例題幹,情境線索明確,中等資訊量,2
多數值資料整合,否定題幹,純文字題幹,專科性高,單一步驟判斷,3
多數值資料整合,否定題幹,純文字題幹,直接知識辨識,單一步驟判斷,3
多數值資料整合,純文字題幹,常規臨床情境,情境線索明確,資訊量精簡,3
多數值資料整合,影像或圖像判讀,直接知識辨識,單一步驟判斷,中等資訊量,2
多數值資料整合,純文字題幹,專科性高,單一步驟判斷,中等資訊量,3
多數值資料整合,純文字題幹,直接知識辨識,單一步驟判斷,中等資訊量,3
多數值資料整合,否定題幹,純文字題幹,專科性高,單一步驟判斷,3
多數值資料整合,純文字題幹,直接知識辨識,單一步驟判斷,資訊量精簡,3
多數值資料整合,否定題幹,純文字題幹,直接知識辨識,單一步驟判斷,3
多數值資料整合,純文字題幹,專科性高,單一步驟判斷,,3
多數值資料整合,純文字題幹,專科性高,單一步驟判斷,中等資訊量,3
多數值資料整合,否定題幹,純文字題幹,直接知識辨識,單一步驟判斷,3
多數值資料整合,純文字題幹,專科性高,單一步驟判斷,,3
多數值資料整合,否定題幹,純文字題幹,直接知識辨識,單一步驟判斷,3
多數值資料整合,純文字題幹,專科性高,單一步驟判斷,中等資訊量,3
多數值資料整合,純文字題幹,專科性高,單一步驟判斷,中等資訊量,3
多數值資料整合,純文字題幹,長案例題幹,情境線索明確,專科性高,2
多數值資料整合,否定題幹,純文字題幹,專科性高,單一步驟判斷,3
多數值資料整合,純文字題幹,專科性高,單一步驟判斷,中等資訊量,3
多數值資料整合,純文字題幹,直接知識辨識,單一步驟判斷,資訊量精簡,3
多數值資料整合,否定題幹,純文字題幹,專科性高,單一步驟判斷,3
多數值資料整合,純文字題幹,專科性高,單一步驟判斷,中等資訊量,3
多數值資料整合,純文字題幹,專科性高,單一步驟判斷,中等資訊量,3
多數值資料整合,否定題幹,純文字題幹,專科性高,單一步驟判斷,3
多數值資料整合,否定題幹,純文字題幹,專科性高,單一步驟判斷,3
多數值資料整合,純文字題幹,常規臨床情境,單一步驟判斷,中等資訊量,3
多數值資料整合,影像或圖像判讀,專科性高,單一步驟判斷,中等資訊量,2
多數值資料整合,否定題幹,純文字題幹,專科性高,單一步驟判斷,3
多數值資料整合,純文字題幹,專科性高,單一步驟判斷,中等資訊量,3
多數值資料整合,否定題幹,純文字題幹,專科性高,單一步驟判斷,3
多數值資料整合,純文字題幹,專科性高,單一步驟判斷,中等資訊量,3
多數值資料整合,純文字題幹,專科性高,單一步驟判斷,中等資訊量,3
多數值資料整合,純文字題幹,專科性高,單一步驟判斷,,3
多數值資料整合,純文字題幹,直接知識辨識,單一步驟判斷,中等資訊量,3
多數值資料整合,否定題幹,純文字題幹,直接知識辨識,單一步驟判斷,3
多數值資料整合,否定題幹,影像或圖像判讀,專科性高,單一步驟判斷,2
多數值資料整合,否定題幹,純文字題幹,專科性高,單一步驟判斷,3
多數值資料整合,否定題幹,純文字題幹,專科性高,單一步驟判斷,3
多數值資料整合,純文字題幹,直接知識辨識,單一步驟判斷,中等資訊量,3
多數值資料整合,否定題幹,純文字題幹,專科性高,單一步驟判斷,3
多數值資料整合,否定題幹,影像或圖像判讀,直接知識辨識,單一步驟判斷,2
多數值資料整合,否定題幹,影像或圖像判讀,常規臨床情境,情境線索明確,2
多數值資料整合,否定題幹,純文字題幹,專科性高,單一步驟判斷,3
多數值資料整合,否定題幹,純文字題幹,專科性高,單一步驟判斷,3
多數值資料整合,否定題幹,純文字題幹,直接知識辨識,單一步驟判斷,3
多數值資料整合,純文字題幹,專科性高,單一步驟判斷,中等資訊量,3
多數值資料整合,否定題幹,純文字題幹,專科性高,單一步驟判斷,3
多數值資料整合,否定題幹,純文字題幹,專科性高,單一步驟判斷,3
多數值資料整合,純文字題幹,直接知識辨識,單一步驟判斷,資訊量精簡,3
多數值資料整合,否定題幹,純文字題幹,專科性高,單一步驟判斷,3
多數值資料整合,否定題幹,純文字題幹,直接知識辨識,單一步驟判斷,3
多數值資料整合,純文字題幹,專科性高,單一步驟判斷,中等資訊量,3
多數值資料整合,純文字題幹,直接知識辨識,單一步驟判斷,中等資訊量,3
多數值資料整合,否定題幹,純文字題幹,專科性高,單一步驟判斷,3
多數值資料整合,否定題幹,純文字題幹,專科性高,單一步驟判斷,3
多數值資料整合,純文字題幹,直接知識辨識,單一步驟判斷,資訊量精簡,3
